state,reading_grade4_2019
DoDEA,235
Massachusetts,231
New_Jersey,227
Wyoming,227
Utah,225
Colorado,225
Florida,225
Connecticut,224
New_Hampshire,224
Virginia,224
Pennsylvania,223
Idaho,223
Minnesota,222
Nebraska,222
South_Dakota,222
Ohio,222
Vermont,222
Indiana,222
Montana,222
North_Carolina,221
Maine,221
North_Dakota,221
Kentucky,221
Iowa,221
Rhode_Island,220
Maryland,220
Wisconsin,220
Washington,220
New_York,220
National_public,219
Mississippi,219
Kansas,219
Tennessee,219
Michigan,218
Illinois,218
Missouri,218
Georgia,218
Oregon,218
Delaware,218
Nevada,218
Hawaii,218
California,216
Oklahoma,216
Texas,216
South_Carolina,216
Arizona,216
Arkansas,215
District_of_Columbia,214
West_Virginia,213
Alabama,212
Louisiana,210
New_Mexico,208
Alaska,204
Puerto_Rico,—
